file,pred_camera_view,true_camera_view
0942_A.jpg,Behind Pitcher,Behind Pitcher
0942_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0942_B.jpg,"Batter, 3B side","Batter, 3B side"
0942_D.jpg,Behind Home,Behind Home
0943_B.jpg,"Batter, 3B side","Batter, 3B side"
0943_A.jpg,Behind Pitcher,Behind Pitcher
0943_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0943_D.jpg,Behind Home,Behind Home
0944_B.jpg,"Batter, 3B side","Batter, 3B side"
0944_A.jpg,Behind Pitcher,Behind Pitcher
0944_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0945_A.jpg,Behind Pitcher,Behind Pitcher
0944_D.jpg,Behind Home,Behind Home
0945_B.jpg,"Batter, 3B side","Batter, 3B side"
0945_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0946_B.jpg,"Batter, 3B side","Batter, 3B side"
0946_A.jpg,Behind Pitcher,Behind Pitcher
0945_D.jpg,Behind Home,Behind Home
0946_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0946_D.jpg,Behind Home,Behind Home
0947_A.jpg,Behind Pitcher,Behind Pitcher
0947_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0947_B.jpg,"Batter, 3B side","Batter, 3B side"
0948_A.jpg,Behind Pitcher,Behind Pitcher
0947_D.jpg,Behind Home,Behind Home
0948_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0948_D.jpg,Behind Home,Behind Home
0948_B.jpg,"Batter, 3B side","Batter, 3B side"
0949_B.jpg,"Batter, 3B side","Batter, 3B side"
0949_A.jpg,Behind Pitcher,Behind Pitcher
0949_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0950_A.jpg,Behind Pitcher,Behind Pitcher
0949_D.jpg,Behind Home,Behind Home
0950_B.jpg,"Batter, 3B side","Batter, 3B side"
0950_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0950_D.jpg,Behind Home,Behind Home
0951_A.jpg,Behind Pitcher,Behind Pitcher
0951_D.jpg,Behind Home,Behind Home
0951_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0951_B.jpg,"Batter, 3B side","Batter, 3B side"
0952_A.jpg,Behind Pitcher,Behind Pitcher
0952_B.jpg,"Batter, 3B side","Batter, 3B side"
0953_A.jpg,Behind Pitcher,Behind Pitcher
0952_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0952_D.jpg,Behind Home,Behind Home
0953_B.jpg,"Batter, 3B side","Batter, 3B side"
0953_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0953_D.jpg,Behind Home,Behind Home
0954_A.jpg,Behind Pitcher,Behind Pitcher
0954_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0954_B.jpg,"Batter, 3B side","Batter, 3B side"
0954_D.jpg,Behind Home,Behind Home
0955_B.jpg,"Batter, 3B side","Batter, 3B side"
0955_A.jpg,Behind Pitcher,Behind Pitcher
0955_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0955_D.jpg,Behind Home,Behind Home
0956_A.jpg,Behind Pitcher,Behind Pitcher
0956_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0956_B.jpg,"Batter, 3B side","Batter, 3B side"
0957_A.jpg,Behind Pitcher,Behind Pitcher
0956_D.jpg,Behind Home,Behind Home
0957_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0957_B.jpg,"Batter, 3B side","Batter, 3B side"
0957_D.jpg,Behind Home,Behind Home
0958_B.jpg,"Batter, 3B side","Batter, 3B side"
0958_A.jpg,Behind Pitcher,Behind Pitcher
